name,slug,rule,movable,gender,diminutives,confidence,note
Adrian,adrian,08-26,false,m,Adi,established,
Adriana,adriana,08-26,false,f,Adri,convention,"Paired with Sf. Adrian și Natalia (08-26) by root-name convention, not an independently attested female saint."
Alexandra,alexandra,08-30,false,f,Alexa; Sandra; Sanda,established,
Alexandru,alexandru,08-30,false,m,Alex; Sandu; Sașa,established,
Ana,ana,07-25,false,f,Anuța; Anica; Anicuța,established,
Anca,anca,07-25,false,f,Ancuța,convention,Treated in Romanian practice as a short form of Ana (07-25).
Andreea,andreea,11-30,false,f,Andra; Andreuța,established,
Andrei,andrei,11-30,false,m,Andi,established,
Anton,anton,01-17,false,m,Toni,convention,"Short form of Antonie, paired with Sf. Antonie cel Mare (01-17)."
Antonia,antonia,01-17,false,f,Toni,convention,Feminine of Antonie; root-name convention.
Antonie,antonie,01-17,false,m,,established,
Atanasie,atanasie,01-18,false,m,Tase,established,
Cătălin,catalin,11-25,false,m,Cătă,convention,"Paired with Sf. Mc. Ecaterina (11-25) by root-name convention, via Cătălina."
Cătălina,catalina,11-25,false,f,Cătă; Lina,convention,Romanian derivative of Ecaterina; root-name convention.
Constantin,constantin,05-21,false,m,Costel; Costică; Dinu,established,
Cristian,cristian,07-24,false,m,Cristi,established,
Cristina,cristina,07-24,false,f,Tina; Cristi; Cristinuța,established,
Daniel,daniel,12-17,false,m,Dani; Danuț,established,
Daniela,daniela,12-17,false,f,Dana; Dani; Danuța,established,
David,david,12-26,false,m,,approximate,"The Sf. Proroc David feast is technically the movable 'Sunday after Nativity' (with Iosif and Iacov), not a fixed date — doesn't fit the MM-DD/easter±N grammar. Popular media conventionally cite 26 December as fixed; used here as an approximation."
Denisa,denisa,10-03,false,f,Deni,single-source,"Only one source found (calendarbisericesc.ro), linking Denisa to Sf. Dionisie; same source also mentions 17 December as an alternate. Needs a second independent source before shipping."
Dumitru,dumitru,10-26,false,m,Mitică; Dumitrache,established,
Ecaterina,ecaterina,11-25,false,f,Cati; Catinca; Tinca,established,
Elena,elena,05-21,false,f,Lenuța; Ela; Leana,established,
Emil,emil,07-18,false,m,Emi,convention,"Paired with Sf. Emilian de la Durostorum (07-18) by root-name convention; a second Sf. Emilian Mărturisitorul is celebrated 08-08 — sources are split between two distinct saints named Emilian, so this is convention, not a direct match."
Filip,filip,11-14,false,m,,established,
Florentina,florentina,easter-7,true,f,Flori; Florica,established,"Part of the 'Florii' group of flower-derived names (with Florin, Viorel, Viorica) — confirmed by g4media.ro's list of names celebrated on Florii."
Florin,florin,easter-7,true,m,Florinel; Flori,established,"Florii is a movable group celebration for flower-derived names — Florin is the single most common name in that group (~335,000 Romanians per g4media.ro)."
Gabriel,gabriel,11-08,false,m,Gabi,established,
Gabriela,gabriela,11-08,false,f,Gabi,established,
George,george,04-23,false,m,Gigi; Gogu,established,
Georgeta,georgeta,04-23,false,f,Geta,convention,Feminine of Gheorghe; same convention as Georgiana.
Georgiana,georgiana,04-23,false,f,Geo; Gina; Giana,convention,"One low-quality search hit suggested 15 April for Georgiana; could not confirm it against any named source, so rejected in favor of the standard root-name convention (Gheorghe, 04-23)."
Gheorghe,gheorghe,04-23,false,m,Gheorghiță; Ghiță; Guță,established,
Grigore,grigore,01-25,false,m,Grig,established,Sf. Grigore Teologul (01-25). Also commemorated 30 January with the Trei Ierarhi; the 25 January feast is the one specific to the name.
Haralambie,haralambie,02-10,false,m,Lambe,established,
Ignat,ignat,12-20,false,m,,convention,"Romanian short form of Ignatie; Sf. Mc. Ignatie Teoforul (12-20), the day of the traditional Ignatul porcilor."
Ilie,ilie,07-20,false,m,Iliuță,established,
Ilinca,ilinca,07-20,false,f,,convention,Feminine derived from Ilie; paired with Sf. Prooroc Ilie (07-20).
Ioan,ioan,01-07,false,m,,established,
Ioana,ioana,01-07,false,f,Oana; Ionica; Nuți,established,
Ion,ion,01-07,false,m,Ionel; Nelu,established,
